Power_Plant _Name,Company,Street Name,Postcode,City,Country,Capacity,Energy_source,Technology,CHP,Commissioned Year,Type,Latitude,Longitude,Energy_source_level_1,Energy_source_level_2,source
Marcinelle Energie (Carsid),Direct Energie,Street data not available,Postcode not available,City data not available,Belgium,413,Natural gas,Combined cycle,No,,Standard Utility,50.41396,4.40645,Fossil fuels,Natural gas,www.elia.be
Aalst Syral Gt,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Aalst Syral St,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,5,Natural gas,Steam turbine,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Aalter Tj,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,18,Oil,Gas turbine,No,,Standard Utility,,,Fossil fuels,Oil,www.elia.be
Amercoeur 1 R Tgv,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,451,Natural gas,Combined cycle,No,,Standard Utility,50.43004,4.39518,Fossil fuels,Natural gas,www.elia.be
Awirs 4,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,95,Biomass and biogas,Steam turbine,No,,Standard Utility,50.58508,5.41886,Renewable energy,Bioenergy,www.elia.be
Beerse Tj,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,32,Oil,Gas turbine,No,,Standard Utility,,,Fossil fuels,Oil,www.elia.be
Beveren Ineos Phenolchemie,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,23.8,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Butgenbach,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,1.8,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,www.elia.be
Cierreux Tj,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,18,Oil,Gas turbine,No,,Standard Utility,,,Fossil fuels,Oil,www.elia.be
Coo I T,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,474,Hydro,Other ,No,,Standard Utility,50.38254,5.84414,Renewable energy,Hydro,www.elia.be
Coo Ii T,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,690,Hydro,Other ,No,,Standard Utility,50.38254,5.84414,Renewable energy,Hydro,www.elia.be
Doel 1,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,445,Nuclear,Steam turbine,No,,Standard Utility,51.32481,4.25889,Nuclear,Nuclear/Other,www.elia.be
Doel 2,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,433,Nuclear,Steam turbine,No,,Standard Utility,51.32481,4.25889,Nuclear,Nuclear/Other,www.elia.be
Doel 3,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,1006,Nuclear,Steam turbine,No,,Standard Utility,51.32481,4.25889,Nuclear,Nuclear/Other,www.elia.be
Doel 4,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,1039,Nuclear,Steam turbine,No,,Standard Utility,51.32481,4.25889,Nuclear,Nuclear/Other,www.elia.be
Drogenbos Dm 51,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,2.5,Oil,Other ,No,,Standard Utility,50.80244,4.30072,Fossil fuels,Oil,www.elia.be
Drogenbos Dm 52,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,2.5,Oil,Other ,No,,Standard Utility,50.80244,4.30072,Fossil fuels,Oil,www.elia.be
Drogenbos Gt1,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,150,Natural gas,Gas turbine,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
Drogenbos Gt2,Electrabel,Street data not available,Postcode not available,City data not available,Belgium,150,Natural gas,Gas turbine,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
